Name,Historical Significance,Gender,Birthdate,Deathdate,ID
Joseph Wyeth,writer,male,1663,1731,10013191
Alexander Skene of Newtyle,politician,male,1621,1694,10011149
James Logan,politician,male,1674,1751,10007567
Dorcas Erbery,Quaker preacher,female,1656,1659,10003983
Lilias Skene,Quaker preacher,male,1626,1697,10011152
William Mucklow,writer,male,1630,1713,10008595
Thomas Salthouse,Quaker preacher,male,1630,1691,10010643
William Dewsbury,Quaker leader,male,1621,1688,10003478
John Audland,Quaker preacher,male,1630,1664,10000411
Richard Claridge,politician,male,1649,1723,10002469
William Bradford,printer,male,1663,1752,10001445
Fettiplace Bellers,writer,male,1687,1750,10000933
John Bellers,merchant,male,1654,1725,10000934
Isabel Yeamans,Quaker preacher,female,1637,1704,10013226
George Fox the younger,writer,male,1551,1661,10004523
George Fox,leader,male,1624,1691,10004524
John Stubbs,politician,male,1618,1675,10011695
Anne Camm,Quaker preacher,female,1627,1705,10001967
John Camm,Quaker preacher,male,1605,1657,10001968
Thomas Camm,Quaker preacher,male,1640,1708,10001969
Katharine Evans,Quaker preacher,female,1618,1692,10004036
Lydia Lancaster,politician,female,1683,1761,10007110
Samuel Clarridge,leader,male,1631,1704,10002504
Thomas Lower,leader,male,1633,1720,10007626
Gervase Benson,Quaker leader,male,1569,1679,10000972
Stephen Crisp,writer,male,1628,1692,10003022
James Claypoole,merchant,male,1634,1687,10002513
Thomas Holme,politician,male,1626,1666,10006100
John Freame,merchant,male,1665,1745,10004564
John Swinton,politician,male,1620,1679,10011742
William Mead,merchant,male,1627,1713,10008161
Henry Pickworth,religious controversialist,male,1673,1738,10009697
John Crook,writer,male,1616,1699,10003063
Gilbert Latey,Quaker leader,male,1626,1705,10007166
Ellis Hookes,Quaker leader,male,1635,1681,10006146
Joseph Besse,historian,male,1683,1757,10001027
James Nayler,writer,male,1618,1660,10008713
Elizabeth Hooten,Quaker preacher,female,1562,1672,10006153
George Whitehead,writer,male,1637,1724,10012813
John Whitehead,Quaker preacher,male,1630,1696,10012815
William Crouch,writer,male,1628,1711,10003087
Benjamin Furly,writer,male,1636,1714,10004625
Silvanus Bevan,scientist,male,1691,1765,10001041
Robert Rich,politician,male,1607,1679,10010260
John Whiting,writer,male,1656,1722,10012829
Christopher Taylor,writer,male,1614,1686,10011811
Thomas Lawson,politician,male,1630,1691,10007210
Richard Farnworth,writer,male,1630,1666,10004141
William Coddington,merchant,male,1601,1678,10002606
Thomas Taylor,writer,male,1617,1682,10011824
Richard Vickris,writer,male,1590,1700,10012350
Robert Barclay,writer,male,1648,1690,10054848
